"term","category","topic"
"core inflation","Hawkish Keyword","Prices"
"cpi inflation","Hawkish Keyword","Prices"
"domestic inflation","Hawkish Keyword","Prices"
"energy price","Hawkish Keyword","Prices"
"energy prices","Hawkish Keyword","Prices"
"expected inflation","Hawkish Keyword","Prices"
"food inflation","Hawkish Keyword","Prices"
"food price","Hawkish Keyword","Prices"
"food prices","Hawkish Keyword","Prices"
"headline inflation","Hawkish Keyword","Prices"
"house price","Hawkish Keyword","Prices"
"house prices","Hawkish Keyword","Prices"
"inflation data","Hawkish Keyword","Prices"
"inflation expectation","Hawkish Keyword","Prices"
"inflation expectations","Hawkish Keyword","Prices"
"inflation forecast","Hawkish Keyword","Prices"
"inflation forecats","Hawkish Keyword","Prices"
"inflation outlook","Hawkish Keyword","Prices"
"inflation prediction","Hawkish Keyword","Prices"
"inflation projection","Hawkish Keyword","Prices"
"inflation projections","Hawkish Keyword","Prices"
"inflation report","Hawkish Keyword","Prices"
"inflation risk","Hawkish Keyword","Prices"
"inflation risks","Hawkish Keyword","Prices"
"inflation target","Hawkish Keyword","Prices"
"inflationary expectation","Hawkish Keyword","Prices"
"inflationary expectations","Hawkish Keyword","Prices"
"inflationary pressure","Hawkish Keyword","Prices"
"inflationary pressures","Hawkish Keyword","Prices"
"inflationary risk","Hawkish Keyword","Prices"
"inflationary risks","Hawkish Keyword","Prices"
"labour cost","Hawkish Keyword","Prices"
"labour costs","Hawkish Keyword","Prices"
"minimum wage","Hawkish Keyword","Prices"
"minimum wages","Hawkish Keyword","Prices"
"oil price","Hawkish Keyword","Prices"
"oil prices","Hawkish Keyword","Prices"
"price growth","Hawkish Keyword","Prices"
"price inflation","Hawkish Keyword","Prices"
"prices growth","Hawkish Keyword","Prices"
"producer price","Hawkish Keyword","Prices"
"producer prices","Hawkish Keyword","Prices"
"underlying inflation","Hawkish Keyword","Prices"
"wage growth","Hawkish Keyword","Prices"
"wages growth","Hawkish Keyword","Prices"
"asset price","Hawkish Keyword","Finance"
"asset prices","Hawkish Keyword","Finance"
"banking sector","Hawkish Keyword","Finance"
"banking system","Hawkish Keyword","Finance"
"capital flows","Hawkish Keyword","Finance"
"commercial paper","Hawkish Keyword","Finance"
"credit growth","Hawkish Keyword","Finance"
"equity market","Hawkish Keyword","Finance"
"equity markets","Hawkish Keyword","Finance"
"euro area","Hawkish Keyword","Finance"
"exchange rate","Hawkish Keyword","Finance"
"exchange rates","Hawkish Keyword","Finance"
"financial conditions","Hawkish Keyword","Finance"
"financial market","Hawkish Keyword","Finance"
"financial markets","Hawkish Keyword","Finance"
"financial sector","Hawkish Keyword","Finance"
"financial services","Hawkish Keyword","Finance"
"financial system","Hawkish Keyword","Finance"
"financial systems","Hawkish Keyword","Finance"
"foreign currencies","Hawkish Keyword","Finance"
"foreign currency","Hawkish Keyword","Finance"
"foreign exchange","Hawkish Keyword","Finance"
"global financial","Hawkish Keyword","Finance"
"liquidity conditions","Hawkish Keyword","Finance"
"us dollar","Hawkish Keyword","Finance"
"advanced countries","Hawkish Keyword","Global"
"advanced country","Hawkish Keyword","Global"
"advanced economies","Hawkish Keyword","Global"
"advanced economy","Hawkish Keyword","Global"
"capital flows","Hawkish Keyword","Global"
"current account","Hawkish Keyword","Global"
"developed economies","Hawkish Keyword","Global"
"developed markets","Hawkish Keyword","Global"
"emerging countries","Hawkish Keyword","Global"
"emerging country","Hawkish Keyword","Global"
"emerging economies","Hawkish Keyword","Global"
"emerging economy","Hawkish Keyword","Global"
"emerging market","Hawkish Keyword","Global"
"emerging markets","Hawkish Keyword","Global"
"export growth","Hawkish Keyword","Global"
"exports growth","Hawkish Keyword","Global"
"federal reserve","Hawkish Keyword","Global"
"global economic","Hawkish Keyword","Global"
"global economy","Hawkish Keyword","Global"
"global growth","Hawkish Keyword","Global"
"global outlook","Hawkish Keyword","Global"
"global recovery","Hawkish Keyword","Global"
"international growth","Hawkish Keyword","Global"
"net exports","Hawkish Keyword","Global"
"trading partners","Hawkish Keyword","Global"
"united states","Hawkish Keyword","Global"
"us rates","Hawkish Keyword","Global"
"world economy","Hawkish Keyword","Global"
"world growth","Hawkish Keyword","Global"
"housing market","Hawkish Keyword","Other"
"monetary easing","Dovish Keyword","Policy"
"monetary stimulus","Dovish Keyword","Policy"
"economic contraction","Dovish Keyword","Growth"
"economic slack","Dovish Keyword","Growth"
"economic uncertainty","Dovish Keyword","Growth"
"gdp decline","Dovish Keyword","Growth"
"household saving","Dovish Keyword","Growth"
"household savings","Dovish Keyword","Growth"
"precautionary saving","Dovish Keyword","Growth"
"precautionary savings","Dovish Keyword","Growth"
"spare capacity","Dovish Keyword","Growth"
"unemployment rate","Dovish Keyword","Growth"
"unemployment rates","Dovish Keyword","Growth"
"deflationary risk","Dovish Keyword","Prices"
"deflationary risks","Dovish Keyword","Prices"
"disinflationary risk","Dovish Keyword","Prices"
"disinflationary risks","Dovish Keyword","Prices"
"expected deflation","Dovish Keyword","Prices"
"expected disinflation","Dovish Keyword","Prices"
"financial crisis","Dovish Keywords","Finance"
"financial instability","Dovish Keywords","Finance"
"financial uncertainty","Dovish Keywords","Finance"
"financial volatility","Dovish Keywords","Finance"
"market volatility","Dovish Keywords","Finance"
"geopolitical risks","Dovish Keyword","Global"
"import growth","Dovish Keyword","Global"
"imports growth","Dovish Keyword","Global"
"net imports","Dovish Keyword","Global"
"covid 19","Dovish Keyword","Other"
"tax rates","Dovish Keyword","Other"
"vat rates","Dovish Keyword","Other"
"at least","Neutral Phrase",""
"best practice","Neutral Phrase",""
"best practices","Neutral Phrase",""
"forward contracts","Neutral Phrase",""
"greater focus","Neutral Phrase",""
"greater transparency","Neutral Phrase",""
"high frequency","Neutral Phrase",""
"high quality","Neutral Phrase",""
"high yield","Neutral Phrase",""
"higher frequency","Neutral Phrase",""
"increasing weight","Neutral Phrase",""
"more detail","Neutral Phrase",""
"more timely","Neutral Phrase",""
