"term","category","topic"
"mitigate","Positive modifier",""
"mitigated","Positive modifier",""
"mitigates","Positive modifier",""
"mitigating","Positive modifier",""
"optimistic","Positive modifier",""
"outperform","Positive modifier",""
"outperformed","Positive modifier",""
"outperforming","Positive modifier",""
"outperforms","Positive modifier",""
"positive","Positive modifier",""
"recover","Positive modifier",""
"recovered","Positive modifier",""
"recovering","Positive modifier",""
"recovers","Positive modifier",""
"reinforce","Positive modifier",""
"reinforced","Positive modifier",""
"reinforces","Positive modifier",""
"reinforcing","Positive modifier",""
"restore","Positive modifier",""
"restored","Positive modifier",""
"restores","Positive modifier",""
"restoring","Positive modifier",""
"satisfactory","Positive modifier",""
"stabilise","Positive modifier",""
"stabilised","Positive modifier",""
"stabilises","Positive modifier",""
"stabilising","Positive modifier",""
"stabilize","Positive modifier",""
"stabilized","Positive modifier",""
"stabilizes","Positive modifier",""
"stabilizing","Positive modifier",""
"stable","Positive modifier",""
"steady","Positive modifier",""
"stimulate","Positive modifier",""
"stimulated","Positive modifier",""
"stimulates","Positive modifier",""
"stimulating","Positive modifier",""
"stimulative","Positive modifier",""
"stimulatory","Positive modifier",""
"successful","Positive modifier",""
"accommodate","Low modifier",""
"accommodating","Low modifier",""
"accommodative","Low modifier",""
"below","Low modifier",""
"bottom","Low modifier",""
"bottomed","Low modifier",""
"bottoming","Low modifier",""
"bottoms","Low modifier",""
"collapse","Low modifier",""
"collapsed","Low modifier",""
"collapsing","Low modifier",""
"compress","Low modifier",""
"compressed","Low modifier",""
"compression","Low modifier",""
"contract","Low modifier",""
"contracted","Low modifier",""
"contracting","Low modifier",""
"contraction","Low modifier",""
"contractionary","Low modifier",""
"contractions","Low modifier",""
"contracts","Low modifier",""
"cut","Low modifier",""
"cuts","Low modifier",""
"cutting","Low modifier",""
"dampen","Low modifier",""
"dampened","Low modifier",""
"dampening","Low modifier",""
"dampens","Low modifier",""
"decelerate","Low modifier",""
"decelerated","Low modifier",""
"decelerates","Low modifier",""
"decelerating","Low modifier",""
"decline","Low modifier",""
"declined","Low modifier",""
"declines","Low modifier",""
"declining","Low modifier",""
"decrease","Low modifier",""
"decreased","Low modifier",""
"decreases","Low modifier",""
"decreasing","Low modifier",""
"deflationary","Low modifier",""
"depress","Low modifier",""
"depressed","Low modifier",""
"depresses","Low modifier",""
"depressing","Low modifier",""
"descend","Low modifier",""
"descended","Low modifier",""
"descending","Low modifier",""
"descends","Low modifier",""
"diminish","Low modifier",""
"diminished","Low modifier",""
"diminishes","Low modifier",""
"diminishing","Low modifier",""
"disinflationary","Low modifier",""
"dove","Low modifier",""
"dovish","Low modifier",""
"down","Low modifier",""
"downside","Low modifier",""
"downsides","Low modifier",""
"downsize","Low modifier",""
"downsized","Low modifier",""
"downsizes","Low modifier",""
"downsizing","Low modifier",""
"downward","Low modifier",""
"downwards","Low modifier",""
"drop","Low modifier",""
"dropped","Low modifier",""
"dropping","Low modifier",""
"drops","Low modifier",""
"erode","Low modifier",""
"eroded","Low modifier",""
"erodes","Low modifier",""
"eroding","Low modifier",""
"fade","Low modifier",""
"faded","Low modifier",""
"fades","Low modifier",""
"fading","Low modifier",""
"fall","Low modifier",""
"fallen","Low modifier",""
"falling","Low modifier",""
"falls","Low modifier",""
"fell","Low modifier",""
"fewer","Low modifier",""
"flatten","Low modifier",""
"flattened","Low modifier",""
"flattening","Low modifier",""
"flattens","Low modifier",""
"hopeful","Low modifier",""
"lagged","Low modifier",""
"lagging","Low modifier",""
"least","Low modifier",""
"less","Low modifier",""
"losing","Low modifier",""
"lost","Low modifier",""
"low","Low modifier",""
"lower","Low modifier",""
"lowered","Low modifier",""
"lowering","Low modifier",""
"lowers","Low modifier",""
"lowest","Low modifier",""
"mild","Low modifier",""
"minimal","Low modifier",""
"minimum","Low modifier",""
"minor","Low modifier",""
"moderate","Low modifier",""
"moderated","Low modifier",""
"moderates","Low modifier",""
"moderating","Low modifier",""
"modest","Low modifier",""
"negative","Low modifier",""
"recede","Low modifier",""
"recedes","Low modifier",""
"receding","Low modifier",""
"recessionary","Low modifier",""
"reduce","Low modifier",""
"reduced","Low modifier",""
"reduces","Low modifier",""
"reducing","Low modifier",""
"reduction","Low modifier",""
"reductions","Low modifier",""
"sank","Low modifier",""
"shorten","Low modifier",""
"shortened","Low modifier",""
"shortening","Low modifier",""
"shortens","Low modifier",""
"shrink","Low modifier",""
"shrinking","Low modifier",""
"shrinks","Low modifier",""
"shrunk","Low modifier",""
"shrunken","Low modifier",""
"sink","Low modifier",""
"sinking","Low modifier",""
"slow","Low modifier",""
"slowdown","Low modifier",""
"slowed","Low modifier",""
"slower","Low modifier",""
"slowest","Low modifier",""
"slowing","Low modifier",""
"slows","Low modifier",""
"sluggish","Low modifier",""
"slump","Low modifier",""
"slumping","Low modifier",""
"small","Low modifier",""
"smaller","Low modifier",""
"smallest","Low modifier",""
"soften","Low modifier",""
"softened","Low modifier",""
"softening","Low modifier",""
"softens","Low modifier",""
"subdued","Low modifier",""
"subside","Low modifier",""
"subsides","Low modifier",""
"subsiding","Low modifier",""
"sunk","Low modifier",""
"suppress","Low modifier",""
"suppressed","Low modifier",""
"suppresses","Low modifier",""
"suppressing","Low modifier",""
"temper","Low modifier",""
"tempered","Low modifier",""
"tempering","Low modifier",""
"wane","Low modifier",""
"waned","Low modifier",""
"wanes","Low modifier",""
"waning","Low modifier",""
"adverse","Negative modifier",""
"aggravate","Negative modifier",""
"aggravated","Negative modifier",""
"aggravates","Negative modifier",""
"aggravating","Negative modifier",""
"apppreciating","Negative modifier",""
"appreciate","Negative modifier",""
"appreciated","Negative modifier",""
"appreciates","Negative modifier",""
"appreciation","Negative modifier",""
"bad","Negative modifier",""
"badly","Negative modifier",""
"challenging","Negative modifier",""
"concern","Negative modifier",""
"concerned","Negative modifier",""
"concerning","Negative modifier",""
"concerns","Negative modifier",""
"conservative","Negative modifier",""
"constrain","Negative modifier",""
"constrained","Negative modifier",""
"constraining","Negative modifier",""
"constrains","Negative modifier",""
"deepen","Negative modifier",""
"deepened","Negative modifier",""
"deepening","Negative modifier",""
"deepens","Negative modifier",""
"deeper","Negative modifier",""
"destabilizing","Negative modifier",""
"deteriorate","Negative modifier",""
"deteriorated","Negative modifier",""
"deteriorates","Negative modifier",""
"deteriorating","Negative modifier",""
"difficult","Negative modifier",""
"difficulty","Negative modifier",""
"disappoint","Negative modifier",""
"disappointed","Negative modifier",""
"disappointing","Negative modifier",""
"disappoints","Negative modifier",""
"fail","Negative modifier",""
"failed","Negative modifier",""
"failing","Negative modifier",""
"fails","Negative modifier",""
"fluctuate","Negative modifier",""
"fluctuated","Negative modifier",""
"fluctuates","Negative modifier",""
"fluctuating","Negative modifier",""
"fragile","Negative modifier",""
"harm","Negative modifier",""
"harmed","Negative modifier",""
"harmful","Negative modifier",""
"harming","Negative modifier",""
"harms","Negative modifier",""
"inconsistent","Negative modifier",""
"jeopardise","Negative modifier",""
"jeopardised","Negative modifier",""
"jeopardises","Negative modifier",""
"jeopardising","Negative modifier",""
"jeopardize","Negative modifier",""
"jeopardized","Negative modifier",""
"jeopardizes","Negative modifier",""
"jeopardizing","Negative modifier",""
"lackluster","Negative modifier",""
"pessimistic","Negative modifier",""
"poor","Negative modifier",""
"restrictive","Negative modifier",""
"riskier","Negative modifier",""
"risky","Negative modifier",""
"stagnating","Negative modifier",""
"stagnation","Negative modifier",""
"stress","Negative modifier",""
"stressed","Negative modifier",""
"stresses","Negative modifier",""
"stressful","Negative modifier",""
"stressing","Negative modifier",""
"stringent","Negative modifier",""
"subprime","Negative modifier",""
"tepid","Negative modifier",""
"terrible","Negative modifier",""
"threaten","Negative modifier",""
"threatened","Negative modifier",""
"threatening","Negative modifier",""
"threatens","Negative modifier",""
"torrid","Negative modifier",""
"tougher","Negative modifier",""
"troubled","Negative modifier",""
"troubling","Negative modifier",""
"turbulent","Negative modifier",""
"uncertain","Negative modifier",""
"unclear","Negative modifier",""
"undermine","Negative modifier",""
"unfavorable","Negative modifier",""
"unfavourable","Negative modifier",""
"unstable","Negative modifier",""
"volatile","Negative modifier",""
"vulnerable","Negative modifier",""
"weak","Negative modifier",""
"weaken","Negative modifier",""
"weakened","Negative modifier",""
"weakening","Negative modifier",""
"weakens","Negative modifier",""
"weaker","Negative modifier",""
"weakest","Negative modifier",""
"weakness","Negative modifier",""
"weaknesses","Negative modifier",""
"worrying","Negative modifier",""
"worse","Negative modifier",""
"worsen","Negative modifier",""
"worsened","Negative modifier",""
"worsening","Negative modifier",""
"worsens","Negative modifier",""
"worst","Negative modifier",""
"anti","Negator",""
"cannot","Negator",""
"halt","Negator",""
"halted","Negator",""
"halting","Negator",""
"halts","Negator",""
"not","Negator",""
"nt","Negator",""
"prevent","Negator",""
"preventing","Negator",""
"prevents","Negator",""
"reverse","Negator",""
"reversed","Negator",""
"reverses","Negator",""
"reversing","Negator",""
"euribor","Hawkish Keyword","Policy"
"libor","Hawkish Keyword","Policy"
"pribor","Hawkish Keyword","Policy"
"rates","Hawkish Keyword","Policy"
"activity","Hawkish Keyword","Growth"
"consumption","Hawkish Keyword","Growth"
"demand","Hawkish Keyword","Growth"
"economic","Hawkish Keyword","Growth"
"employment","Hawkish Keyword","Growth"
"expenditure","Hawkish Keyword","Growth"
"gdp","Hawkish Keyword","Growth"
"growth","Hawkish Keyword","Growth"
"industrial","Hawkish Keyword","Growth"
"inventories","Hawkish Keyword","Growth"
"inventory","Hawkish Keyword","Growth"
"investment","Hawkish Keyword","Growth"
"manufacturing","Hawkish Keyword","Growth"
"output","Hawkish Keyword","Growth"
"pmi","Hawkish Keyword","Growth"
"production","Hawkish Keyword","Growth"
"productivity","Hawkish Keyword","Growth"
"recovery","Hawkish Keyword","Growth"
"spending","Hawkish Keyword","Growth"
"cost","Hawkish Keyword","Prices"
"costs","Hawkish Keyword","Prices"
"cpi","Hawkish Keyword","Prices"
"inflation","Hawkish Keyword","Prices"
"oil","Hawkish Keyword","Prices"
"price","Hawkish Keyword","Prices"
"prices","Hawkish Keyword","Prices"
"wage","Hawkish Keyword","Prices"
"wages","Hawkish Keyword","Prices"
"banks","Hawkish Keyword","Finance"
"credit","Hawkish Keyword","Finance"
"dollar","Hawkish Keyword","Finance"
"equities","Hawkish Keyword","Finance"
"equity","Hawkish Keyword","Finance"
"euro","Hawkish Keyword","Finance"
"investors","Hawkish Keyword","Finance"
"lending","Hawkish Keyword","Finance"
"liquidity","Hawkish Keyword","Finance"
"loan","Hawkish Keyword","Finance"
"securities","Hawkish Keyword","Finance"
"china","Hawkish Keyword","Global"
"europe","Hawkish Keyword","Global"
"european","Hawkish Keyword","Global"
"export","Hawkish Keyword","Global"
"exports","Hawkish Keyword","Global"
"global","Hawkish Keyword","Global"
"international","Hawkish Keyword","Global"
"japan","Hawkish Keyword","Global"
"japanese","Hawkish Keyword","Global"
"trade","Hawkish Keyword","Global"
"usa","Hawkish Keyword","Global"
"confidence","Hawkish Keyword","Other"
"housing","Hawkish Keyword","Other"
"sentiment","Hawkish Keyword","Other"
"surplus","Hawkish Keyword","Other"
"vaccination","Hawkish Keyword","Other"
"vaccinations","Hawkish Keyword","Other"
"vaccine","Hawkish Keyword","Other"
"vaccines","Hawkish Keyword","Other"
"stimulus","Dovish Keyword","Policy"
"idleness","Dovish Keyword","Growth"
"recession","Dovish Keyword","Growth"
"saving","Dovish Keyword","Growth"
"savings","Dovish Keyword","Growth"
"slack","Dovish Keyword","Growth"
"unemployed","Dovish Keyword","Growth"
"unemployment","Dovish Keyword","Growth"
"deflation","Dovish Keyword","Prices"
"disinflation","Dovish Keyword","Prices"
"import","Dovish Keyword","Global"
"imports","Dovish Keyword","Global"
"coronavirus","Dovish Keyword","Other"
"covid","Dovish Keyword","Other"
"covid19","Dovish Keyword","Other"
"deficit","Dovish Keyword","Other"
"epidemic","Dovish Keyword","Other"
"infections","Dovish Keyword","Other"
"instability","Dovish Keyword","Other"
"lockdown","Dovish Keyword","Other"
"lockdowns","Dovish Keyword","Other"
"pandemic","Dovish Keyword","Other"
"risk","Dovish Keyword","Other"
"risks","Dovish Keyword","Other"
"uncertainty","Dovish Keyword","Other"
"variance","Dovish Keyword","Other"
"volatility","Dovish Keyword","Other"
