"term","category","topic"
"accommodates","Positive modifier",""
"accommodating","Positive modifier",""
"benign","Positive modifier",""
"best","Positive modifier",""
"better","Positive modifier",""
"better_than_estimated","Positive modifier",""
"better_than_expected","Positive modifier",""
"better_than_usual","Positive modifier",""
"calm","Positive modifier",""
"calmed","Positive modifier",""
"calmer","Positive modifier",""
"calmer_than_estimated","Positive modifier",""
"calmer_than_expected","Positive modifier",""
"calmer_than_usual","Positive modifier",""
"calming","Positive modifier",""
"calms","Positive modifier",""
"depreciate","Positive modifier",""
"depreciated","Positive modifier",""
"depreciates","Positive modifier",""
"depreciating","Positive modifier",""
"depreciation","Positive modifier",""
"dynamic","Positive modifier",""
"ease","Positive modifier",""
"eased","Positive modifier",""
"eases","Positive modifier",""
"easing","Positive modifier",""
"encouraging","Positive modifier",""
"excellent","Positive modifier",""
"expansion","Positive modifier",""
"expansionary","Positive modifier",""
"expansive","Positive modifier",""
"favorable","Positive modifier",""
"favourable","Positive modifier",""
"firmer","Positive modifier",""
"good","Positive modifier",""
"great","Positive modifier",""
"greater","Positive modifier",""
"greater_than_estimated","Positive modifier",""
"greater_than_expected","Positive modifier",""
"greater_than_usual","Positive modifier",""
"greatest","Positive modifier",""
"healthier","Positive modifier",""
"healthier_than_estimated","Positive modifier",""
"healthier_than_expected","Positive modifier",""
"healthier_than_usual","Positive modifier",""
"improve","Positive modifier",""
"improved","Positive modifier",""
"improves","Positive modifier",""
"improving","Positive modifier",""
"loose","Positive modifier",""
"loosen","Positive modifier",""
"loosened","Positive modifier",""
"loosening","Positive modifier",""
"loosens","Positive modifier",""
"looser","Positive modifier",""
"looser_than_estimated","Positive modifier",""
"looser_than_expected","Positive modifier",""
"looser_than_usual","Positive modifier",""
"mitigate","Positive modifier",""
"mitigated","Positive modifier",""
"mitigates","Positive modifier",""
"mitigating","Positive modifier",""
"optimistic","Positive modifier",""
"outperform","Positive modifier",""
"outperformed","Positive modifier",""
"outperforming","Positive modifier",""
"outperforms","Positive modifier",""
"positive","Positive modifier",""
"recover","Positive modifier",""
"recovered","Positive modifier",""
"recovering","Positive modifier",""
"recovers","Positive modifier",""
"reinforce","Positive modifier",""
"reinforced","Positive modifier",""
"reinforces","Positive modifier",""
"reinforcing","Positive modifier",""
"restore","Positive modifier",""
"restored","Positive modifier",""
"restores","Positive modifier",""
"restoring","Positive modifier",""
"satisfactory","Positive modifier",""
"stabilise","Positive modifier",""
"stabilised","Positive modifier",""
"stabilises","Positive modifier",""
"stabilising","Positive modifier",""
"stabilize","Positive modifier",""
"stabilized","Positive modifier",""
"stabilizes","Positive modifier",""
"stabilizing","Positive modifier",""
"stable","Positive modifier",""
"steady","Positive modifier",""
"stimulate","Positive modifier",""
"stimulated","Positive modifier",""
"stimulates","Positive modifier",""
"stimulating","Positive modifier",""
"stimulative","Positive modifier",""
"stimulatory","Positive modifier",""
"successful","Positive modifier",""
"accommodate","Low modifier",""
"accommodating","Low modifier",""
"accommodative","Low modifier",""
"below","Low modifier",""
"bottom","Low modifier",""
"bottomed","Low modifier",""
"bottoming","Low modifier",""
"bottoms","Low modifier",""
"collapse","Low modifier",""
"collapsed","Low modifier",""
"collapsing","Low modifier",""
"compress","Low modifier",""
"compressed","Low modifier",""
"compression","Low modifier",""
"contract","Low modifier",""
"contracted","Low modifier",""
"contracting","Low modifier",""
"contraction","Low modifier",""
"contractionary","Low modifier",""
"contractions","Low modifier",""
"contracts","Low modifier",""
"cut","Low modifier",""
"cuts","Low modifier",""
"cutting","Low modifier",""
"dampen","Low modifier",""
"dampened","Low modifier",""
"dampening","Low modifier",""
"dampens","Low modifier",""
"decelerate","Low modifier",""
"decelerated","Low modifier",""
"decelerates","Low modifier",""
"decelerating","Low modifier",""
"decline","Low modifier",""
"declined","Low modifier",""
"declines","Low modifier",""
"declining","Low modifier",""
"decrease","Low modifier",""
"decreased","Low modifier",""
"decreases","Low modifier",""
"decreasing","Low modifier",""
"deflationary","Low modifier",""
"depress","Low modifier",""
"depressed","Low modifier",""
"depresses","Low modifier",""
"depressing","Low modifier",""
"descend","Low modifier",""
"descended","Low modifier",""
"descending","Low modifier",""
"descends","Low modifier",""
"diminish","Low modifier",""
"diminished","Low modifier",""
"diminishes","Low modifier",""
"diminishing","Low modifier",""
"disinflationary","Low modifier",""
"dove","Low modifier",""
"dovish","Low modifier",""
"down","Low modifier",""
"downside","Low modifier",""
"downside_risk","Low modifier",""
"downside_risks","Low modifier",""
"downsides","Low modifier",""
"downsize","Low modifier",""
"downsized","Low modifier",""
"downsizes","Low modifier",""
"downsizing","Low modifier",""
"downward","Low modifier",""
"downward_risk","Low modifier",""
"downward_risks","Low modifier",""
"downward_trend_","Low modifier",""
"downward_trends","Low modifier",""
"downwards","Low modifier",""
"downwards_risk","Low modifier",""
"downwards_risks","Low modifier",""
"downwards_trend","Low modifier",""
"downwards_trends","Low modifier",""
"drop","Low modifier",""
"dropped","Low modifier",""
"dropping","Low modifier",""
"drops","Low modifier",""
"erode","Low modifier",""
"eroded","Low modifier",""
"erodes","Low modifier",""
"eroding","Low modifier",""
"fade","Low modifier",""
"faded","Low modifier",""
"fades","Low modifier",""
"fading","Low modifier",""
"fall","Low modifier",""
"fallen","Low modifier",""
"falling","Low modifier",""
"falls","Low modifier",""
"fell","Low modifier",""
"fewer","Low modifier",""
"fewer_than_estimated","Low modifier",""
"fewer_than_expected","Low modifier",""
"fewer_than_usual","Low modifier",""
"flatten","Low modifier",""
"flattened","Low modifier",""
"flattening","Low modifier",""
"flattens","Low modifier",""
"hopeful","Low modifier",""
"lagged","Low modifier",""
"lagged_behind","Low modifier",""
"lagging","Low modifier",""
"lagging_behind","Low modifier",""
"least","Low modifier",""
"less","Low modifier",""
"less_than_estimated","Low modifier",""
"less_than_expected","Low modifier",""
"less_than_usual","Low modifier",""
"losing","Low modifier",""
"lost","Low modifier",""
"low","Low modifier",""
"lower","Low modifier",""
"lower_than_estimated","Low modifier",""
"lower_than_expected","Low modifier",""
"lower_than_usual","Low modifier",""
"lowered","Low modifier",""
"lowering","Low modifier",""
"lowers","Low modifier",""
"lowest","Low modifier",""
"mild","Low modifier",""
"minimal","Low modifier",""
"minimum","Low modifier",""
"minor","Low modifier",""
"moderate","Low modifier",""
"moderated","Low modifier",""
"moderates","Low modifier",""
"moderating","Low modifier",""
"modest","Low modifier",""
"negative","Low modifier",""
"recede","Low modifier",""
"recedes","Low modifier",""
"receding","Low modifier",""
"recessionary","Low modifier",""
"reduce","Low modifier",""
"reduced","Low modifier",""
"reduces","Low modifier",""
"reducing","Low modifier",""
"reduction","Low modifier",""
"reductions","Low modifier",""
"reversal_of_increases","Low modifier",""
"reversed_increases","Low modifier",""
"sank","Low modifier",""
"shorten","Low modifier",""
"shortened","Low modifier",""
"shortening","Low modifier",""
"shortens","Low modifier",""
"shrink","Low modifier",""
"shrinking","Low modifier",""
"shrinks","Low modifier",""
"shrunk","Low modifier",""
"shrunken","Low modifier",""
"sink","Low modifier",""
"sinking","Low modifier",""
"slow","Low modifier",""
"slowdown","Low modifier",""
"slowed","Low modifier",""
"slower","Low modifier",""
"slowest","Low modifier",""
"slowing","Low modifier",""
"slows","Low modifier",""
"sluggish","Low modifier",""
"slump","Low modifier",""
"slumping","Low modifier",""
"small","Low modifier",""
"smaller","Low modifier",""
"smaller_than_estimated","Low modifier",""
"smaller_than_expected","Low modifier",""
"smaller_than_usual","Low modifier",""
"smallest","Low modifier",""
"soften","Low modifier",""
"softened","Low modifier",""
"softening","Low modifier",""
"softens","Low modifier",""
"subdued","Low modifier",""
"subside","Low modifier",""
"subsides","Low modifier",""
"subsiding","Low modifier",""
"sunk","Low modifier",""
"suppress","Low modifier",""
"suppressed","Low modifier",""
"suppresses","Low modifier",""
"suppressing","Low modifier",""
"temper","Low modifier",""
"tempered","Low modifier",""
"tempering","Low modifier",""
"wane","Low modifier",""
"waned","Low modifier",""
"wanes","Low modifier",""
"waning","Low modifier",""
"adverse","Negative modifier",""
"aggravate","Negative modifier",""
"aggravated","Negative modifier",""
"aggravates","Negative modifier",""
"aggravating","Negative modifier",""
"apppreciating","Negative modifier",""
"appreciate","Negative modifier",""
"appreciated","Negative modifier",""
"appreciates","Negative modifier",""
"appreciation","Negative modifier",""
"bad","Negative modifier",""
"badly","Negative modifier",""
"challenging","Negative modifier",""
"concern","Negative modifier",""
"concerned","Negative modifier",""
"concerning","Negative modifier",""
"concerns","Negative modifier",""
"conservative","Negative modifier",""
"constrain","Negative modifier",""
"constrained","Negative modifier",""
"constraining","Negative modifier",""
"constrains","Negative modifier",""
"deepen","Negative modifier",""
"deepened","Negative modifier",""
"deepening","Negative modifier",""
"deepens","Negative modifier",""
"deeper","Negative modifier",""
"deeper_than_estimated","Negative modifier",""
"deeper_than_expected","Negative modifier",""
"deeper_than_usual","Negative modifier",""
"destabilizing","Negative modifier",""
"deteriorate","Negative modifier",""
"deteriorated","Negative modifier",""
"deteriorates","Negative modifier",""
"deteriorating","Negative modifier",""
"difficult","Negative modifier",""
"difficulty","Negative modifier",""
"disappoint","Negative modifier",""
"disappointed","Negative modifier",""
"disappointing","Negative modifier",""
"disappoints","Negative modifier",""
"fail","Negative modifier",""
"failed","Negative modifier",""
"failing","Negative modifier",""
"fails","Negative modifier",""
"fluctuate","Negative modifier",""
"fluctuated","Negative modifier",""
"fluctuates","Negative modifier",""
"fluctuating","Negative modifier",""
"fragile","Negative modifier",""
"harm","Negative modifier",""
"harmed","Negative modifier",""
"harmful","Negative modifier",""
"harming","Negative modifier",""
"harms","Negative modifier",""
"inconsistent","Negative modifier",""
"jeopardise","Negative modifier",""
"jeopardised","Negative modifier",""
"jeopardises","Negative modifier",""
"jeopardising","Negative modifier",""
"jeopardize","Negative modifier",""
"jeopardized","Negative modifier",""
"jeopardizes","Negative modifier",""
"jeopardizing","Negative modifier",""
"lackluster","Negative modifier",""
"pessimistic","Negative modifier",""
"poor","Negative modifier",""
"require_support","Negative modifier",""
"requires_support","Negative modifier",""
"requiring_support","Negative modifier",""
"restrictive","Negative modifier",""
"riskier","Negative modifier",""
"risky","Negative modifier",""
"stagnating","Negative modifier",""
"stagnation","Negative modifier",""
"stress","Negative modifier",""
"stressed","Negative modifier",""
"stresses","Negative modifier",""
"stressful","Negative modifier",""
"stressing","Negative modifier",""
"stringent","Negative modifier",""
"subprime","Negative modifier",""
"tepid","Negative modifier",""
"terrible","Negative modifier",""
"threaten","Negative modifier",""
"threatened","Negative modifier",""
"threatening","Negative modifier",""
"threatens","Negative modifier",""
"torrid","Negative modifier",""
"tougher","Negative modifier",""
"troubled","Negative modifier",""
"troubling","Negative modifier",""
"turbulent","Negative modifier",""
"uncertain","Negative modifier",""
"unclear","Negative modifier",""
"undermine","Negative modifier",""
"unfavorable","Negative modifier",""
"unfavourable","Negative modifier",""
"unstable","Negative modifier",""
"volatile","Negative modifier",""
"vulnerable","Negative modifier",""
"weak","Negative modifier",""
"weaken","Negative modifier",""
"weakened","Negative modifier",""
"weakening","Negative modifier",""
"weakens","Negative modifier",""
"weaker","Negative modifier",""
"weaker_than_estimated","Negative modifier",""
"weaker_than_expected","Negative modifier",""
"weaker_than_usual","Negative modifier",""
"weakest","Negative modifier",""
"weakness","Negative modifier",""
"weaknesses","Negative modifier",""
"worrying","Negative modifier",""
"worse","Negative modifier",""
"worse_than_estimated","Negative modifier",""
"worse_than_expected","Negative modifier",""
"worse_than_usual","Negative modifier",""
"worsen","Negative modifier",""
"worsened","Negative modifier",""
"worsening","Negative modifier",""
"worsens","Negative modifier",""
"worst","Negative modifier",""
"anti","Negator",""
"aren_t","Negator",""
"by_no_means","Negator",""
"can_t","Negator",""
"cannot","Negator",""
"cannot_be","Negator",""
"cannot_but_be","Negator",""
"halt","Negator",""
"halt_a","Negator",""
"halt_an","Negator",""
"halt_the","Negator",""
"halted","Negator",""
"halted_the","Negator",""
"halting","Negator",""
"halting_the","Negator",""
"halts","Negator",""
"halts_the","Negator",""
"not","Negator",""
"not_a","Negator",""
"not_allow","Negator",""
"not_allow_a","Negator",""
"not_allow_an","Negator",""
"not_allow_the","Negator",""
"not_an","Negator",""
"not_be","Negator",""
"not_permit","Negator",""
"not_permit_a","Negator",""
"not_permit_an","Negator",""
"not_permit_the","Negator",""
"not_rule_out","Negator",""
"not_rule_out_a","Negator",""
"not_rule_out_an","Negator",""
"not_rule_out_the","Negator",""
"not_the","Negator",""
"nt","Negator",""
"prevent","Negator",""
"prevent_a","Negator",""
"prevent_an","Negator",""
"prevent_the","Negator",""
"preventing","Negator",""
"preventing_a","Negator",""
"preventing_an","Negator",""
"preventing_the","Negator",""
"prevents","Negator",""
"prevents_a","Negator",""
"prevents_an","Negator",""
"prevents_the","Negator",""
"reversal_of","Negator",""
"reversal_of_the","Negator",""
"reverse","Negator",""
"reverse_a","Negator",""
"reverse_an","Negator",""
"reverse_the","Negator",""
"reversed","Negator",""
"reversed_a","Negator",""
"reversed_an","Negator",""
"reversed_the","Negator",""
"reverses","Negator",""
"reverses_a","Negator",""
"reverses_an","Negator",""
"reverses_the","Negator",""
"reversing","Negator",""
"reversing_a","Negator",""
"reversing_an","Negator",""
"reversing_the","Negator",""
"bank_rate","Hawkish Keyword","Policy"
"board_member","Hawkish Keyword","Policy"
"board_members","Hawkish Keyword","Policy"
"central_bank","Hawkish Keyword","Policy"
"central_banks","Hawkish Keyword","Policy"
"committee_member","Hawkish Keyword","Policy"
"committee_members","Hawkish Keyword","Policy"
"core_rates","Hawkish Keyword","Policy"
"deposit_rates","Hawkish Keyword","Policy"
"euribor","Hawkish Keyword","Policy"
"interbank_interest_rate","Hawkish Keyword","Policy"
"interbank_rate","Hawkish Keyword","Policy"
"interbank_rates","Hawkish Keyword","Policy"
"interest_rate","Hawkish Keyword","Policy"
"interest_rates","Hawkish Keyword","Policy"
"libor","Hawkish Keyword","Policy"
"lombard_rate","Hawkish Keyword","Policy"
"marginal_standing_facility","Hawkish Keyword","Policy"
"market_rates","Hawkish Keyword","Policy"
"monetary_conditions","Hawkish Keyword","Policy"
"monetary_policies","Hawkish Keyword","Policy"
"monetary_policy","Hawkish Keyword","Policy"
"monetary_policy_action","Hawkish Keyword","Policy"
"monetary_policy_actions","Hawkish Keyword","Policy"
"monetary_policy_instrument","Hawkish Keyword","Policy"
"monetary_policy_instruments","Hawkish Keyword","Policy"
"monetary_policy_stance","Hawkish Keyword","Policy"
"monetary_policy_stances","Hawkish Keyword","Policy"
"monetary_stance","Hawkish Keyword","Policy"
"monetary_stances","Hawkish Keyword","Policy"
"money_demand","Hawkish Keyword","Policy"
"money_supply","Hawkish Keyword","Policy"
"policy_action","Hawkish Keyword","Policy"
"policy_actions","Hawkish Keyword","Policy"
"policy_decision","Hawkish Keyword","Policy"
"policy_decisions","Hawkish Keyword","Policy"
"policy_instrument","Hawkish Keyword","Policy"
"policy_instruments","Hawkish Keyword","Policy"
"policy_rate","Hawkish Keyword","Policy"
"policy_rates","Hawkish Keyword","Policy"
"policy_repo_rate","Hawkish Keyword","Policy"
"policy_stance","Hawkish Keyword","Policy"
"policy_stances","Hawkish Keyword","Policy"
"pribor","Hawkish Keyword","Policy"
"rates","Hawkish Keyword","Policy"
"repo_rate","Hawkish Keyword","Policy"
"repo_rates","Hawkish Keyword","Policy"
"reserve_bank","Hawkish Keyword","Policy"
"reverse_repo_rate","Hawkish Keyword","Policy"
"reverse_repo_rates","Hawkish Keyword","Policy"
"selic_rate","Hawkish Keyword","Policy"
"swap_rates","Hawkish Keyword","Policy"
"activity","Hawkish Keyword","Growth"
"aggregate_demand","Hawkish Keyword","Growth"
"capacity_utilisation","Hawkish Keyword","Growth"
"capacity_utilization","Hawkish Keyword","Growth"
"capital_expenditure","Hawkish Keyword","Growth"
"capital_formation","Hawkish Keyword","Growth"
"capital_investment","Hawkish Keyword","Growth"
"capital_spending","Hawkish Keyword","Growth"
"consumer_spending","Hawkish Keyword","Growth"
"consumption","Hawkish Keyword","Growth"
"consumption_expenditure","Hawkish Keyword","Growth"
"demand","Hawkish Keyword","Growth"
"demand_side","Hawkish Keyword","Growth"
"disposable_income","Hawkish Keyword","Growth"
"domestic_demand","Hawkish Keyword","Growth"
"domestic_economy","Hawkish Keyword","Growth"
"domestic_growth","Hawkish Keyword","Growth"
"economic","Hawkish Keyword","Growth"
"economic_activity","Hawkish Keyword","Growth"
"economic_conditions","Hawkish Keyword","Growth"
"economic_development","Hawkish Keyword","Growth"
"economic_growth","Hawkish Keyword","Growth"
"economic_output","Hawkish Keyword","Growth"
"economic_recovery","Hawkish Keyword","Growth"
"employment","Hawkish Keyword","Growth"
"employment_growth","Hawkish Keyword","Growth"
"expenditure","Hawkish Keyword","Growth"
"expenditure_growth","Hawkish Keyword","Growth"
"gdp","Hawkish Keyword","Growth"
"gdp_growth","Hawkish Keyword","Growth"
"growth","Hawkish Keyword","Growth"
"growth_expectations","Hawkish Keyword","Growth"
"growth_forecast","Hawkish Keyword","Growth"
"growth_forecasts","Hawkish Keyword","Growth"
"growth_outlook","Hawkish Keyword","Growth"
"growth_prospects","Hawkish Keyword","Growth"
"household_consumption","Hawkish Keyword","Growth"
"household_income","Hawkish Keyword","Growth"
"household_spending","Hawkish Keyword","Growth"
"industrial","Hawkish Keyword","Growth"
"industrial_production","Hawkish Keyword","Growth"
"inventories","Hawkish Keyword","Growth"
"inventory","Hawkish Keyword","Growth"
"investment","Hawkish Keyword","Growth"
"labor_market","Hawkish Keyword","Growth"
"labour_market","Hawkish Keyword","Growth"
"labour_productivity","Hawkish Keyword","Growth"
"manufacturing","Hawkish Keyword","Growth"
"output","Hawkish Keyword","Growth"
"output_gap","Hawkish Keyword","Growth"
"output_growth","Hawkish Keyword","Growth"
"pmi","Hawkish Keyword","Growth"
"private_consumption","Hawkish Keyword","Growth"
"production","Hawkish Keyword","Growth"
"productivity","Hawkish Keyword","Growth"
"recovery","Hawkish Keyword","Growth"
"retail_sales","Hawkish Keyword","Growth"
"services_sector","Hawkish Keyword","Growth"
"spending","Hawkish Keyword","Growth"
"supply_side","Hawkish Keyword","Growth"
"commodity_price","Hawkish Keyword","Prices"
"commodity_prices","Hawkish Keyword","Prices"
"consumer_price","Hawkish Keyword","Prices"
"consumer_price_index","Hawkish Keyword","Prices"
"consumer_prices","Hawkish Keyword","Prices"
"core_inflation","Hawkish Keyword","Prices"
"cost","Hawkish Keyword","Prices"
"costs","Hawkish Keyword","Prices"
"cpi","Hawkish Keyword","Prices"
"cpi_inflation","Hawkish Keyword","Prices"
"domestic_inflation","Hawkish Keyword","Prices"
"energy_price","Hawkish Keyword","Prices"
"energy_prices","Hawkish Keyword","Prices"
"expected_inflation","Hawkish Keyword","Prices"
"food_inflation","Hawkish Keyword","Prices"
"food_price","Hawkish Keyword","Prices"
"food_prices","Hawkish Keyword","Prices"
"headline_inflation","Hawkish Keyword","Prices"
"house_price","Hawkish Keyword","Prices"
"house_prices","Hawkish Keyword","Prices"
"inflation","Hawkish Keyword","Prices"
"inflation_data","Hawkish Keyword","Prices"
"inflation_expectation","Hawkish Keyword","Prices"
"inflation_expectations","Hawkish Keyword","Prices"
"inflation_forecast","Hawkish Keyword","Prices"
"inflation_forecats","Hawkish Keyword","Prices"
"inflation_outlook","Hawkish Keyword","Prices"
"inflation_prediction","Hawkish Keyword","Prices"
"inflation_projection","Hawkish Keyword","Prices"
"inflation_projections","Hawkish Keyword","Prices"
"inflation_report","Hawkish Keyword","Prices"
"inflation_risk","Hawkish Keyword","Prices"
"inflation_risks","Hawkish Keyword","Prices"
"inflation_target","Hawkish Keyword","Prices"
"inflationary_expectation","Hawkish Keyword","Prices"
"inflationary_expectations","Hawkish Keyword","Prices"
"inflationary_pressure","Hawkish Keyword","Prices"
"inflationary_pressures","Hawkish Keyword","Prices"
"inflationary_risk","Hawkish Keyword","Prices"
"inflationary_risks","Hawkish Keyword","Prices"
"labour_cost","Hawkish Keyword","Prices"
"labour_costs","Hawkish Keyword","Prices"
"minimum_wage","Hawkish Keyword","Prices"
"minimum_wages","Hawkish Keyword","Prices"
"oil","Hawkish Keyword","Prices"
"oil_price","Hawkish Keyword","Prices"
"oil_prices","Hawkish Keyword","Prices"
"price","Hawkish Keyword","Prices"
"price_growth","Hawkish Keyword","Prices"
"price_inflation","Hawkish Keyword","Prices"
"prices","Hawkish Keyword","Prices"
"prices_growth","Hawkish Keyword","Prices"
"producer_price","Hawkish Keyword","Prices"
"producer_price_index","Hawkish Keyword","Prices"
"producer_prices","Hawkish Keyword","Prices"
"underlying_inflation","Hawkish Keyword","Prices"
"unit_labour_cost","Hawkish Keyword","Prices"
"unit_labour_costs","Hawkish Keyword","Prices"
"wage","Hawkish Keyword","Prices"
"wage_growth","Hawkish Keyword","Prices"
"wages","Hawkish Keyword","Prices"
"wages_growth","Hawkish Keyword","Prices"
"asset_price","Hawkish Keyword","Finance"
"asset_prices","Hawkish Keyword","Finance"
"banking_sector","Hawkish Keyword","Finance"
"banking_system","Hawkish Keyword","Finance"
"banks","Hawkish Keyword","Finance"
"capital_flows","Hawkish Keyword","Finance"
"commercial_paper","Hawkish Keyword","Finance"
"credit","Hawkish Keyword","Finance"
"credit_growth","Hawkish Keyword","Finance"
"dollar","Hawkish Keyword","Finance"
"equities","Hawkish Keyword","Finance"
"equity","Hawkish Keyword","Finance"
"equity_market","Hawkish Keyword","Finance"
"equity_markets","Hawkish Keyword","Finance"
"euro","Hawkish Keyword","Finance"
"euro_area","Hawkish Keyword","Finance"
"exchange_rate","Hawkish Keyword","Finance"
"exchange_rates","Hawkish Keyword","Finance"
"financial_conditions","Hawkish Keyword","Finance"
"financial_market","Hawkish Keyword","Finance"
"financial_markets","Hawkish Keyword","Finance"
"financial_sector","Hawkish Keyword","Finance"
"financial_services","Hawkish Keyword","Finance"
"financial_system","Hawkish Keyword","Finance"
"financial_systems","Hawkish Keyword","Finance"
"foreign_currencies","Hawkish Keyword","Finance"
"foreign_currency","Hawkish Keyword","Finance"
"foreign_exchange","Hawkish Keyword","Finance"
"global_financial","Hawkish Keyword","Finance"
"investors","Hawkish Keyword","Finance"
"lending","Hawkish Keyword","Finance"
"liquidity","Hawkish Keyword","Finance"
"liquidity_conditions","Hawkish Keyword","Finance"
"loan","Hawkish Keyword","Finance"
"securities","Hawkish Keyword","Finance"
"us_dollar","Hawkish Keyword","Finance"
"advanced_countries","Hawkish Keyword","Global"
"advanced_country","Hawkish Keyword","Global"
"advanced_economies","Hawkish Keyword","Global"
"advanced_economy","Hawkish Keyword","Global"
"capital_flows","Hawkish Keyword","Global"
"china","Hawkish Keyword","Global"
"current_account","Hawkish Keyword","Global"
"developed_economies","Hawkish Keyword","Global"
"developed_markets","Hawkish Keyword","Global"
"emerging_countries","Hawkish Keyword","Global"
"emerging_country","Hawkish Keyword","Global"
"emerging_economies","Hawkish Keyword","Global"
"emerging_economy","Hawkish Keyword","Global"
