Date,VSTOXX.Price
9/2/1999,25.84
9/3/1999,23.04
9/7/1999,23.04
9/8/1999,23.09
9/9/1999,22.22
9/10/1999,21.64
9/13/1999,22.72
9/14/1999,23.62
9/15/1999,24.72
9/16/1999,25.13
9/17/1999,23.84
9/20/1999,23.8
9/21/1999,25.4
9/22/1999,25.82
9/23/1999,25.03
9/24/1999,27.13
9/27/1999,26.3
9/28/1999,26.91
9/29/1999,27.85
9/30/1999,27.85
10/1/1999,27.87
10/4/1999,26.59
10/5/1999,26.32
10/6/1999,25.28
10/7/1999,23.5
10/8/1999,23.17
10/11/1999,22.68
10/12/1999,23.47
10/13/1999,24.71
10/14/1999,24.01
10/15/1999,27.18
10/18/1999,29.43
10/19/1999,26
10/20/1999,25.49
10/21/1999,25.95
10/22/1999,23.4
10/25/1999,25.27
10/26/1999,24.37
10/27/1999,24.76
10/28/1999,22.01
10/29/1999,21.94
11/1/1999,21.86
11/2/1999,22.04
11/3/1999,22.35
11/4/1999,21.81
11/5/1999,20.89
11/8/1999,21.33
11/9/1999,21.27
11/10/1999,21.22
11/11/1999,20.95
11/12/1999,20.78
11/15/1999,21.61
11/16/1999,21.11
11/17/1999,21.27
11/18/1999,20.51
11/19/1999,20.15
11/22/1999,22.5
11/23/1999,22.82
11/24/1999,22.8
11/26/1999,22
11/29/1999,23.06
11/30/1999,23.4
12/1/1999,23.67
12/2/1999,23.54
12/3/1999,22.42
12/6/1999,22.95
12/7/1999,23.69
12/8/1999,23.6
12/9/1999,23.95
12/10/1999,25.19
12/13/1999,25.81
12/14/1999,26.7
12/15/1999,28.23
12/16/1999,29.6
12/17/1999,29.43
12/20/1999,28.93
12/21/1999,29.42
12/22/1999,28.42
12/23/1999,29
12/27/1999,31.99
12/28/1999,31.87
12/29/1999,31.52
12/30/1999,31.1
12/31/1999,31.1
1/3/2000,30.98
1/4/2000,33.22
1/5/2000,32.59
1/6/2000,31.18
1/7/2000,27.44
1/10/2000,27.37
1/11/2000,27.96
1/12/2000,28.61
1/13/2000,28.05
1/14/2000,25.48
1/18/2000,27.78
1/19/2000,28.13
1/20/2000,27.76
1/21/2000,28.2
1/24/2000,28.66
1/25/2000,30.02
1/26/2000,29.43
1/27/2000,28.06
1/28/2000,29.02
1/31/2000,31.97
2/1/2000,30.12
2/2/2000,29.5
2/3/2000,28.93
2/4/2000,28.63
2/7/2000,29.94
2/8/2000,28.57
2/9/2000,29.51
2/10/2000,30.13
2/11/2000,29.18
2/14/2000,32.92
2/15/2000,33.99
2/16/2000,32.56
2/17/2000,30.92
2/18/2000,30.31
2/22/2000,30.77
2/23/2000,29.6
2/24/2000,29.51
2/25/2000,27.09
2/28/2000,29.09
2/29/2000,28.78
3/1/2000,27.68
3/2/2000,24.73
3/3/2000,27.52
3/6/2000,27.73
3/7/2000,28.46
3/8/2000,29.51
3/9/2000,29.3
3/10/2000,28.23
3/13/2000,31.14
3/14/2000,30.9
3/15/2000,31.51
3/16/2000,31.45
3/17/2000,31.09
3/20/2000,29.54
3/21/2000,29.12
3/22/2000,28.93
3/23/2000,28.53
3/24/2000,27.02
3/27/2000,27.06
3/28/2000,26.43
3/29/2000,25.46
3/30/2000,27.79
3/31/2000,27.24
4/3/2000,28.18
4/4/2000,27.82
4/5/2000,32.07
4/6/2000,28.78
4/7/2000,26.63
4/10/2000,26.94
4/11/2000,28.14
4/12/2000,27.64
4/13/2000,27.86
4/14/2000,28.41
4/17/2000,30.78
4/18/2000,30.28
4/19/2000,28.22
4/20/2000,27.23
4/24/2000,27.23
4/25/2000,28.31
4/26/2000,28.29
4/27/2000,29.99
4/28/2000,28.13
5/1/2000,28.13
5/2/2000,28.71
5/3/2000,29.89
5/4/2000,29.57
5/5/2000,28.2
5/8/2000,28.75
5/9/2000,29.29
5/10/2000,30.02
5/11/2000,27.73
5/12/2000,27.06
5/15/2000,28.18
5/16/2000,26.82
5/17/2000,27.25
5/18/2000,26.29
5/19/2000,28.53
5/22/2000,29.7
5/23/2000,28.74
5/24/2000,28.86
5/25/2000,27.36
5/26/2000,26.78
5/30/2000,25.63
5/31/2000,25.26
6/1/2000,24.14
6/2/2000,22.76
6/5/2000,23.45
6/6/2000,24.16
6/7/2000,24.37
6/8/2000,24.11
6/9/2000,24.31
6/12/2000,24.57
6/13/2000,24.18
6/14/2000,23.23
6/15/2000,24.12
6/16/2000,23.55
6/19/2000,23.08
6/20/2000,22.31
6/21/2000,22.71
6/22/2000,22.71
6/23/2000,22.61
6/26/2000,22.82
6/27/2000,22.79
6/28/2000,22.27
6/29/2000,23.57
6/30/2000,22.42
7/3/2000,22.65
7/5/2000,22.61
7/6/2000,22.45
7/7/2000,21.47
7/10/2000,21.58
7/11/2000,21.22
7/12/2000,20.95
7/13/2000,20.45
7/14/2000,19.78
7/17/2000,19.61
7/18/2000,19.41
7/19/2000,20.46
7/20/2000,20.09
7/21/2000,20.35
7/24/2000,20.84
7/25/2000,20.57
7/26/2000,20.64
7/27/2000,21.25
7/28/2000,22.55
7/31/2000,22.25
8/1/2000,22.46
8/2/2000,22.28
8/3/2000,23.2
8/4/2000,22.41
8/7/2000,22.25
8/8/2000,21.96
8/9/2000,21.79
8/10/2000,21.29
8/11/2000,21.18
8/14/2000,20.67
8/15/2000,20.7
8/16/2000,20.29
8/17/2000,20.22
8/18/2000,19.91
8/21/2000,19.98
8/22/2000,19.91
8/23/2000,19.61
8/24/2000,19.82
8/25/2000,19.25
8/28/2000,19.73
8/29/2000,19.84
8/30/2000,20.14
8/31/2000,19.62
9/1/2000,19.14
9/5/2000,20.52
9/6/2000,20.66
9/7/2000,19.91
9/8/2000,20.45
9/11/2000,20.17
9/12/2000,20.07
9/13/2000,20.59
9/14/2000,20.39
9/15/2000,19.87
9/18/2000,21.15
9/19/2000,21.44
9/20/2000,22.02
9/21/2000,24.85
9/22/2000,24.42
9/25/2000,23.13
9/26/2000,22.69
9/27/2000,22.39
9/28/2000,21.94
9/29/2000,23.35
10/2/2000,23.51
10/3/2000,23.2
10/4/2000,23.57
10/5/2000,23.17
10/6/2000,23.23
10/9/2000,25.28
10/10/2000,25.69
10/11/2000,27.7
10/12/2000,27.64
10/13/2000,28.65
10/16/2000,27.45
10/17/2000,26.99
10/18/2000,29.85
10/19/2000,27.54
10/20/2000,26.4
10/23/2000,26.5
10/24/2000,25.65
10/25/2000,26.76
10/26/2000,27.4
10/27/2000,26.32
10/30/2000,26.49
10/31/2000,25.3
11/1/2000,24.88
11/2/2000,24.5
11/3/2000,23.54
11/6/2000,24.15
11/7/2000,24.33
11/8/2000,24.24
11/9/2000,24.25
11/10/2000,25.52
11/13/2000,28.05
11/14/2000,25.58
11/15/2000,25.1
11/16/2000,24.96
11/17/2000,24.88
11/20/2000,26.39
11/21/2000,25.5
11/22/2000,26.94
11/24/2000,25.38
11/27/2000,25.97
11/28/2000,26.26
11/29/2000,26.2
11/30/2000,28.38
12/1/2000,27.27
12/4/2000,28.17
12/5/2000,26.17
12/6/2000,25.67
12/7/2000,25.85
12/8/2000,25.41
12/11/2000,24.71
12/12/2000,24.22
12/13/2000,23.84
12/14/2000,24.96
12/15/2000,25.6
12/18/2000,24.45
12/19/2000,24.39
12/20/2000,27.22
12/21/2000,27.98
12/22/2000,27.46
12/26/2000,27.46
12/27/2000,27.03
12/28/2000,26.73
12/29/2000,26.23
1/2/2001,27.73
1/3/2001,28.62
1/4/2001,26.92
1/5/2001,26.59
1/8/2001,27.27
1/9/2001,27.1
1/10/2001,26.47
1/11/2001,24.84
1/12/2001,23.65
1/16/2001,24.13
1/17/2001,23.44
1/18/2001,23.3
1/19/2001,22.79
1/22/2001,23.32
1/23/2001,23.1
1/24/2001,22.46
1/25/2001,22.01
1/26/2001,21.92
1/29/2001,22.06
1/30/2001,22.52
1/31/2001,22.25
2/1/2001,21.75
2/2/2001,21.17
2/5/2001,21.53
2/6/2001,20.51
2/7/2001,20.78
2/8/2001,20.16
2/9/2001,20.39
2/12/2001,19.7
2/13/2001,19.89
2/14/2001,21.03
2/15/2001,19.67
2/16/2001,21.01
2/20/2001,21.45
2/21/2001,22.65
2/22/2001,23.96
2/23/2001,23.81
2/26/2001,23.74
2/27/2001,22.91
2/28/2001,23.31
3/1/2001,23.38
3/2/2001,22.8
3/5/2001,22.21
3/6/2001,20.88
3/7/2001,20.79
3/8/2001,20.57
3/9/2001,21.14
3/12/2001,23.47
3/13/2001,24.2
3/14/2001,27.19
3/15/2001,27.21
3/16/2001,27.71
3/19/2001,28.25
3/20/2001,27.72
3/21/2001,28.35
3/22/2001,30.56
3/23/2001,31.44
3/26/2001,28.79
3/27/2001,27.08
3/28/2001,29.65
3/29/2001,30.18
3/30/2001,29.84
4/2/2001,29.55
4/3/2001,33.08
4/4/2001,32.6
4/5/2001,30.52
4/6/2001,29.74
4/9/2001,28.7
4/10/2001,26.52
4/11/2001,25.35
4/12/2001,25.16
4/16/2001,25.16
4/17/2001,27.79
4/18/2001,25.18
4/19/2001,26.19
4/20/2001,26.52
4/23/2001,26.99
4/24/2001,25.71
4/25/2001,24.96
4/26/2001,22.97
4/27/2001,20.98
4/30/2001,21.21
5/1/2001,21.21
5/2/2001,21.7
5/3/2001,22.92
5/4/2001,22.9
5/7/2001,22.52
5/8/2001,22.41
5/9/2001,22.67
5/10/2001,21.2
5/11/2001,21
5/14/2001,22.29
5/15/2001,21.68
5/16/2001,21.83
5/17/2001,21.13
5/18/2001,20.68
5/21/2001,20.62
5/22/2001,20
5/23/2001,20.07
5/24/2001,19.59
5/25/2001,19.52
5/29/2001,20.47
5/30/2001,21.54
5/31/2001,21.33
6/1/2001,20.98
6/4/2001,20.67
6/5/2001,19.86
6/6/2001,19.96
6/7/2001,19.97
6/8/2001,19.01
6/11/2001,19.6
6/12/2001,21.95
6/13/2001,21.31
6/14/2001,23.62
6/15/2001,24.27
6/18/2001,24.43
6/19/2001,22.89
6/20/2001,23.08
6/21/2001,22.25
6/22/2001,20.94
6/25/2001,21.41
6/26/2001,23.53
6/27/2001,23.19
6/28/2001,21.75
6/29/2001,20.34
7/2/2001,19.63
7/3/2001,20.43
7/5/2001,20.98
7/6/2001,24.72
7/9/2001,25.35
7/10/2001,25
7/11/2001,27.77
7/12/2001,25.03
7/13/2001,24.46
7/16/2001,25.56
7/17/2001,26.16
7/18/2001,28.4
7/19/2001,26.07
7/20/2001,26.1
7/23/2001,25.72
7/24/2001,26.39
7/25/2001,28.1
7/26/2001,26.91
7/27/2001,24.92
7/30/2001,23.57
7/31/2001,22.31
8/1/2001,21.72
8/2/2001,22.06
8/3/2001,22.86
8/6/2001,22.9
8/7/2001,22.79
8/8/2001,23.46
8/9/2001,25.99
8/10/2001,25.79
8/13/2001,25.24
8/14/2001,24.09
8/15/2001,24.24
8/16/2001,25.95
8/17/2001,28.96
8/20/2001,28.68
8/21/2001,26.77
8/22/2001,26.94
8/23/2001,25.27
8/24/2001,24.12
8/27/2001,24.92
8/28/2001,26.26
8/29/2001,26.25
8/30/2001,27.7
8/31/2001,27.49
9/4/2001,28.6
9/5/2001,29.94
9/6/2001,31.64
9/7/2001,33.08
9/10/2001,34.99
9/17/2001,45.63
9/18/2001,46.86
9/19/2001,46.67
9/20/2001,52.45
9/21/2001,57.54
9/24/2001,50.28
9/25/2001,48.73
9/26/2001,47.05
9/27/2001,45.19
9/28/2001,40.89
10/1/2001,43.22
10/2/2001,42.83
10/3/2001,41.63
10/4/2001,38.91
10/5/2001,41.45
10/8/2001,43.26
10/9/2001,42.19
10/10/2001,39.18
10/11/2001,38.58
10/12/2001,38.31
10/15/2001,43.87
10/16/2001,42.32
10/17/2001,40.99
10/18/2001,44.66
10/19/2001,46.39
10/22/2001,42.61
10/23/2001,39.38
10/24/2001,39.25
10/25/2001,40.73
10/26/2001,38.07
10/29/2001,39.6
10/30/2001,42.76
10/31/2001,40.75
11/1/2001,39.77
11/2/2001,38.45
11/5/2001,37.18
11/6/2001,37.66
11/7/2001,36.89
11/8/2001,34.34
11/9/2001,33.61
11/12/2001,39.45
11/13/2001,34.42
11/14/2001,35.23
11/15/2001,36.88
11/16/2001,33.09
11/19/2001,31.84
11/20/2001,31.82
11/21/2001,30.73
11/23/2001,27.55
11/26/2001,27.7
11/27/2001,29.18
11/28/2001,30.09
11/29/2001,30.17
11/30/2001,28.77
12/3/2001,30.11
12/4/2001,28.17
12/5/2001,26.82
12/6/2001,27.6
12/7/2001,27.58
12/10/2001,28.64
12/11/2001,28.57
12/12/2001,28.93
12/13/2001,29.79
12/14/2001,30.03
12/17/2001,27.78
12/18/2001,28.49
12/19/2001,28.38
12/20/2001,29
12/21/2001,28.55
12/24/2001,28.55
12/26/2001,28.55
12/27/2001,27.55
12/28/2001,26.71
12/31/2001,26.71
1/2/2002,29.32
1/3/2002,27.36
1/4/2002,26.61
1/7/2002,27.42
1/8/2002,27.04
1/9/2002,27.02
1/10/2002,28.28
1/11/2002,27.18
1/14/2002,29.03
1/15/2002,28.39
1/16/2002,29.25
1/17/2002,28.65
1/18/2002,28.08
1/22/2002,27.62
1/23/2002,26.73
1/24/2002,24.74
1/25/2002,24.07
1/28/2002,24.41
1/29/2002,25.07
1/30/2002,26.56
1/31/2002,25.38
2/1/2002,24.7
2/4/2002,25.53
2/5/2002,28.36
2/6/2002,29.86
2/7/2002,28.97
2/8/2002,27.67
2/11/2002,27.5
2/12/2002,27.25
2/13/2002,27.12
2/14/2002,25.78
2/15/2002,26.2
2/19/2002,28.11
2/20/2002,28.93
2/21/2002,27.6
2/22/2002,28.82
2/25/2002,27.39
2/26/2002,26.76
2/27/2002,26.1
2/28/2002,25.23
3/1/2002,24.66
3/4/2002,24.94
3/5/2002,25
3/6/2002,24.47
3/7/2002,25.05
3/8/2002,24.24
3/11/2002,24.74
3/12/2002,24.95
3/13/2002,25.24
3/14/2002,23.97
3/15/2002,22.1
3/18/2002,22.05
3/19/2002,21.49
3/20/2002,21.97
3/21/2002,21.5
3/22/2002,20.29
3/25/2002,20.53
3/26/2002,20.12
3/27/2002,19.62
3/28/2002,19.52
4/1/2002,19.52
4/2/2002,21.25
4/3/2002,21.06
4/4/2002,21.83
4/5/2002,21.76
4/8/2002,24.05
4/9/2002,23.16
4/10/2002,22.38
4/11/2002,23.12
4/12/2002,22.71
4/15/2002,22.28
4/16/2002,21.53
4/17/2002,22.51
4/18/2002,23.34
4/19/2002,22.17
4/22/2002,23.08
4/23/2002,23.09
4/24/2002,23.15
4/25/2002,24.75
4/26/2002,24.72
4/29/2002,25.29
4/30/2002,24.85
5/1/2002,24.85
5/2/2002,25
5/3/2002,25.45
5/6/2002,25.65
5/7/2002,26.01
5/8/2002,24.58
5/9/2002,24.83
5/10/2002,25.84
5/13/2002,25.06
5/14/2002,24.98
5/15/2002,24.69
5/16/2002,24.7
5/17/2002,24.24
5/20/2002,25.27
5/21/2002,25.45
5/22/2002,26.69
5/23/2002,26.32
5/24/2002,25.22
5/28/2002,25.23
5/29/2002,25.15
5/30/2002,27.11
5/31/2002,25.8
6/3/2002,26.78
6/4/2002,29.38
6/5/2002,28.44
6/6/2002,27.68
6/7/2002,28.91
6/10/2002,28.68
6/11/2002,28.04
6/12/2002,29.87
6/13/2002,31.02
6/14/2002,34.73
6/17/2002,31.03
6/18/2002,32.09
6/19/2002,35.36
6/20/2002,36.8
6/21/2002,37.92
6/24/2002,38.68
6/25/2002,36.55
6/26/2002,41.25
6/27/2002,38.42
6/28/2002,36.11
7/1/2002,36.66
7/2/2002,40.48
7/3/2002,43.72
7/5/2002,36.76
7/8/2002,38.64
7/9/2002,39.4
7/10/2002,41.93
7/11/2002,46.56
7/12/2002,46.88
7/15/2002,52.77
7/16/2002,53.62
7/17/2002,51.64
7/18/2002,48.76
7/19/2002,52.06
7/22/2002,56.46
7/23/2002,58.96
7/24/2002,62.73
7/25/2002,59.25
7/26/2002,56.41
7/29/2002,46.99
7/30/2002,46.37
7/31/2002,48.71
8/1/2002,50.97
8/2/2002,52.88
8/5/2002,55.65
8/6/2002,54.03
8/7/2002,56.1
8/8/2002,51.14
8/9/2002,50.02
8/12/2002,51.98
8/13/2002,51.51
8/14/2002,51.56
8/15/2002,48.24
8/16/2002,43.81
8/19/2002,38.2
8/20/2002,39.93
8/21/2002,38.46
8/22/2002,39.15
8/23/2002,39.2
8/26/2002,39.47
8/27/2002,38.53
8/28/2002,43.59
8/29/2002,47.25
8/30/2002,46.82
9/3/2002,58.06
9/4/2002,57.42
9/5/2002,55.87
9/6/2002,48.93
9/9/2002,50.85
9/10/2002,49.38
9/11/2002,45.76
9/12/2002,49.74
9/13/2002,50.23
9/16/2002,50.94
9/17/2002,51.56
9/18/2002,56.69
9/19/2002,57.49
9/20/2002,55.51
9/23/2002,59.8
9/24/2002,60.35
9/25/2002,57.45
9/26/2002,55.72
9/27/2002,56.95
9/30/2002,61.34
10/1/2002,57.67
10/2/2002,57.06
10/3/2002,58.9
10/4/2002,60.66
10/7/2002,61.9
10/8/2002,61.17
10/9/2002,58.2
10/10/2002,52.28
10/11/2002,49.61
10/14/2002,51.35
10/15/2002,48.42
10/16/2002,51.51
10/17/2002,51.1
10/18/2002,51.73
10/21/2002,50.94
10/22/2002,51.22
10/23/2002,52.16
10/24/2002,50.29
10/25/2002,48.68
10/28/2002,46.91
10/29/2002,49.1
10/30/2002,46.85
10/31/2002,45.07
11/1/2002,44.79
11/4/2002,43.36
11/5/2002,43.23
11/6/2002,44.58
11/7/2002,46.62
11/8/2002,47.69
11/11/2002,48.78
11/12/2002,46.06
11/13/2002,46.15
11/14/2002,44.23
11/15/2002,41.69
11/18/2002,40.23
11/19/2002,39.31
11/20/2002,38.13
11/21/2002,35.64
11/22/2002,34.8
11/25/2002,34.63
11/26/2002,36.58
11/27/2002,34.63
11/29/2002,35.83
12/2/2002,36.76
12/3/2002,39.76
12/4/2002,39.48
12/5/2002,42.42
12/6/2002,42.72
12/9/2002,47.1
12/10/2002,45.25
12/11/2002,43.6
12/12/2002,44.31
12/13/2002,44.66
12/16/2002,42.47
12/17/2002,42.68
12/18/2002,45.53
12/19/2002,50.51
12/20/2002,47.95
12/23/2002,46.69
12/24/2002,46.69
12/26/2002,46.69
12/27/2002,50.25
12/30/2002,51.21
12/31/2002,51.21
1/2/2003,46.51
1/3/2003,45.33
1/6/2003,44.59
1/7/2003,44.87
1/8/2003,45.72
1/9/2003,43.93
1/10/2003,41.41
1/13/2003,40.59
1/14/2003,39.82
1/15/2003,39.62
1/16/2003,38.33
1/17/2003,41.46
1/21/2003,45.96
1/22/2003,48.85
1/23/2003,47.57
1/24/2003,47.16
1/27/2003,53.14
1/28/2003,52.41
1/29/2003,51.29
1/30/2003,47.19
1/31/2003,44.35
2/3/2003,42.54
2/4/2003,47.24
2/5/2003,45.26
2/6/2003,46.86
2/7/2003,46.4
2/10/2003,45.79
2/11/2003,43.25
2/12/2003,44.37
2/13/2003,44.4
2/14/2003,42.53
2/18/2003,40.31
2/19/2003,41.3
2/20/2003,41.71
2/21/2003,40.69
2/24/2003,44.66
2/25/2003,49.33
2/26/2003,48.11
2/27/2003,46.71
2/28/2003,44.5
3/3/2003,43.91
3/4/2003,44.61
3/5/2003,43.65
3/6/2003,43.85
3/7/2003,45.01
3/10/2003,47.17
3/11/2003,45.24
3/12/2003,50.04
3/13/2003,45.98
3/14/2003,46.95
3/17/2003,50.33
3/18/2003,52.23
3/19/2003,52.88
3/20/2003,50.45
3/21/2003,45.84
3/24/2003,50.15
3/25/2003,49.74
3/26/2003,48.06
3/27/2003,46.61
3/28/2003,45.9
3/31/2003,48.27
4/1/2003,46.74
4/2/2003,45.03
4/3/2003,45.69
4/4/2003,43.98
4/7/2003,41.43
4/8/2003,40.59
4/9/2003,39.21
4/10/2003,38.45
4/11/2003,37.5
4/14/2003,34.81
4/15/2003,32.96
4/16/2003,32.76
4/17/2003,32.6
4/21/2003,32.6
4/22/2003,33.13
4/23/2003,32.16
4/24/2003,32.41
4/25/2003,33.22
4/28/2003,32.11
4/29/2003,32.55
4/30/2003,31.8
5/1/2003,31.8
5/2/2003,31.72
5/5/2003,31.02
5/6/2003,30.09
5/7/2003,30.64
5/8/2003,34.02
5/9/2003,32.89
5/12/2003,33.27
5/13/2003,32.65
5/14/2003,31.23
5/15/2003,29.32
5/16/2003,28.64
5/19/2003,34.78
5/20/2003,34.84
5/21/2003,36.2
5/22/2003,33.28
5/23/2003,33.54
5/27/2003,32.02
5/28/2003,30.79
5/29/2003,30.49
5/30/2003,28.54
6/2/2003,28.55
6/3/2003,30.92
6/4/2003,29.41
6/5/2003,30.75
6/6/2003,28.38
6/9/2003,29.66
6/10/2003,28.03
6/11/2003,26.94
6/12/2003,26.49
6/13/2003,27.51
6/16/2003,26.29
6/17/2003,27.25
6/18/2003,26.91
6/19/2003,27.21
6/20/2003,26.12
6/23/2003,27.38
6/24/2003,28.15
6/25/2003,27.94
6/26/2003,26.8
6/27/2003,26.59
6/30/2003,27.53
7/1/2003,29.63
7/2/2003,27.56
7/3/2003,28.15
7/7/2003,25.81
7/8/2003,26.27
7/9/2003,26.32
7/10/2003,26.84
7/11/2003,25.95
7/14/2003,25.78
7/15/2003,26.16
7/16/2003,25.96
7/17/2003,28.63
7/18/2003,28.15
7/21/2003,29.25
7/22/2003,28.08
7/23/2003,27.37
7/24/2003,25.66
7/25/2003,25.73
7/28/2003,25.72
7/29/2003,25.8
7/30/2003,25.38
7/31/2003,24.54
8/1/2003,25.3
8/4/2003,27.33
8/5/2003,26.62
8/6/2003,29.28
8/7/2003,29.97
8/8/2003,28.76
8/11/2003,27.92
8/12/2003,26.89
8/13/2003,26.79
8/14/2003,24.63
8/15/2003,24.52
8/18/2003,24.13
8/19/2003,24.34
8/20/2003,24.28
8/21/2003,23.51
8/22/2003,23.82
8/25/2003,24.85
8/26/2003,26.49
8/27/2003,25.33
8/28/2003,24.52
8/29/2003,24.66
9/2/2003,26.08
9/3/2003,25.78
9/4/2003,25.21
9/5/2003,25.11
9/8/2003,24.89
9/9/2003,25.91
9/10/2003,26.97
9/11/2003,26.48
9/12/2003,27.66
9/15/2003,26.59
9/16/2003,24.59
9/17/2003,24.04
9/18/2003,22.96
9/19/2003,23.99
9/22/2003,28.89
9/23/2003,29.83
9/24/2003,30.55
9/25/2003,32.13
9/26/2003,32.38
9/29/2003,32.29
9/30/2003,33.5
10/1/2003,31.59
10/2/2003,30.85
10/3/2003,28.08
10/6/2003,29.48
10/7/2003,31.04
10/8/2003,29.5
10/9/2003,27.06
10/10/2003,27.04
10/13/2003,26.58
10/14/2003,26.97
10/15/2003,26.74
10/16/2003,25.36
10/17/2003,25.95
10/20/2003,24.79
10/21/2003,24.61
10/22/2003,27.76
10/23/2003,26.86
10/24/2003,26.03
10/27/2003,25.32
10/28/2003,23.98
10/29/2003,24.43
10/30/2003,23.04
10/31/2003,22.52
11/3/2003,21.75
11/4/2003,22.78
11/5/2003,22.69
11/6/2003,21.65
11/7/2003,22.49
11/10/2003,22.68
11/11/2003,22.83
11/12/2003,22.02
11/13/2003,22.34
11/14/2003,22.56
11/17/2003,26.83
11/18/2003,29.2
11/19/2003,27.92
11/20/2003,29.01
11/21/2003,27.24
11/24/2003,23.36
11/25/2003,22.8
11/26/2003,23.21
11/28/2003,22.08
12/1/2003,22.94
12/2/2003,22.46
12/3/2003,20.98
12/4/2003,20.95
12/5/2003,20.73
12/8/2003,21.4
12/9/2003,20.63
12/10/2003,20.92
12/11/2003,20.11
12/12/2003,20.95
12/15/2003,20.77
12/16/2003,20.81
12/17/2003,21.04
12/18/2003,19.81
12/19/2003,19.87
12/22/2003,19.69
12/23/2003,19.45
12/24/2003,19.45
12/26/2003,19.45
12/29/2003,20.57
12/30/2003,21.16
12/31/2003,21.16
1/2/2004,21.57
1/5/2004,21.29
1/6/2004,20.05
1/7/2004,19.22
1/8/2004,18.31
1/9/2004,20.16
1/12/2004,20.67
1/13/2004,20.46
1/14/2004,19.68
1/15/2004,18.6
1/16/2004,17.87
1/20/2004,18.97
1/21/2004,17.73
1/22/2004,18.6
1/23/2004,18.47
1/26/2004,18.92
